,Tweet,Date,Time
98,"RT @PrisonPlanet: Fashion brand Boohoo, which vehemently expressed its support for Black Lives Matter in the aftermath of the death of Geor\xe2\x80\xa6'",2021-03-03,23:18:51
99,"@ethanjking Oh my. I have 11 on mine. Black Lives Matter, Fuck Things up, Support Planned Parenthood, Rainbow Flag,\xe2\x80\xa6 https://t.co/nyP1q5MrE7'",2021-03-03,23:18:12
100,"RT @BoonDOGgles__: Hello new followers! I\xe2\x80\x99m Bella (she/her) I\xe2\x80\x99m a ttrpg player, streamer, and cosplayer! \nCome support me on \n\xe2\x8f\xb0 https://t.c\xe2\x80\xa6'",2021-03-03,23:17:57
101,@PortalTracklist Black lives matter',2021-03-03,23:17:53
102,\xe2\x80\x9cBlack Lives Matter\xe2\x80\x9d https://t.co/KiiVBqbImK',2021-03-03,23:16:56
103,"@atrupar Not higher, equal. Kind of as with black lives matter. Why are you stubbornly obtuse?'",2021-03-03,23:16:18
104,"@RealCandaceO The local police ""disappear"" BLM protestors before they get a fair trial.https://t.co/Dj4Nr7p3vS'",2021-03-03,23:15:45
105,Yep! And these are the same white people with Black Lives Matter signs in their front yards. https://t.co/gTHZPLMKZm',2021-03-03,23:14:58
106,"If they come this time, have the national guard do the same to these idiots as they did to the black lives matter m\xe2\x80\xa6 https://t.co/Uhya8RrbD5'",2021-03-03,23:14:47
107,"""Since the 80s we\'ve seen emergence of a right-wing echo system. And what it\'s echoing is that Black lives don\'t ma\xe2\x80\xa6 https://t.co/LF85VHdalL'",2021-03-03,23:14:38
108,"@gamb1tsgaming His Slack avi is Deku with a sign that says Black Lives Matter, and his Zoom avi is SS Broly. He mad\xe2\x80\xa6 https://t.co/EnMqG8ZcN3'",2021-03-03,23:14:14
109,@nachitodwl black lives matter',2021-03-03,23:13:37
110,@SethAndrewsTTA Google came up with this for the Punisher logo/US flag:\n\nhttps://t.co/WShEF9EtIu',2021-03-03,23:13:32
111,"RT @JoshuaSon: @JackPosobiec apparently asian lives don't matter. imagine if these victims were black.. the whole country would be on fire.""",2021-03-03,23:13:07
112,@Jkam1919 @UncleChaps The Black Lives Matter narrative is the biggest fraud ever pushed on the American people.  Po\xe2\x80\xa6 https://t.co/BhjCZfBltF',2021-03-03,23:12:42
113,"She's lying, as we know from their surveillance of Black Lives Matter groups, DAPL protestors, and so forth.\n\n(Or,\xe2\x80\xa6 https://t.co/jkqVXvTHXJ""",2021-03-03,23:11:50
114,"@Jimmy26764268 @Bababooie42 Yes, all lives matter when black lives matter.\n\nWhy are you so abusive?'",2021-03-03,23:11:48
115,Mike Brown\xe2\x80\x99s Father And Ferguson Protesters Demand $20 Million From Black Lives Matter https://t.co/PxMzS41ZrI',2021-03-03,23:11:32
116,"@johnrich You worried 'bout leaving a better planet for our kids\nHow 'bout leaving better kids for our planet\nEntir\xe2\x80\xa6 https://t.co/kyUnMdNOt6""",2021-03-03,23:11:31
117,Check out this @WBTV_News story about the creation of the Black Lives Matter rocking chairs that were donated to us\xe2\x80\xa6 https://t.co/UCvTFMwq95',2021-03-03,23:11:12
118,@kyledcheney @bfry1981 What about putting them at the black lives matter protests omg these people\xf0\x9f\x99\x84#racists',2021-03-03,23:11:03
119,"For Biden Administration, Black Lives Don\xe2\x80\x99t Matter in Haiti!\xe2\x80\x94A BAP Statement on Haiti https://t.co/eztM9oyYit'",2021-03-03,23:10:07
120,@kokichirato black trans lives matter lives do NADA',2021-03-03,23:09:31
121,Black Lives Still Matter.. \xe2\x9c\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x96\xa4',2021-03-03,23:09:23
122,\xe2\x80\x98Just a beginning\xe2\x80\x99: Black Lives Matter sign to be installed in Sacramento\xe2\x80\x99s Oak Park https://t.co/nzyBez1GN0',2021-03-03,23:08:51
123,The Rules of Engagement for dealing with any insurrection at the Capital tomorrow should be at least as forceful as\xe2\x80\xa6 https://t.co/JLBxhIKKro',2021-03-03,23:08:49
124,RT @STOKEDorg: L.A. Skateboarders Show Solidarity with Black Lives Matter https://t.co/N0Ck3wxk9j https://t.co/XsWuWcJMYM',2021-03-03,23:07:05
125,"RT @anachech: Municipalities where BLM protests have been held experienced as much as a 20% decrease in killings by police, and increased l\xe2\x80\xa6'",2021-03-03,23:06:36
126,"She has also gained significant recognition as an activist, having showcased support for the Black Lives Matter movement during her matches.'",2021-03-03,23:05:54
127,If you a black girl with a white boyfriend you aren\xe2\x80\x99t allowed to say Black Lives Matter',2021-03-03,23:05:44
128,Piers Morgan says Black Lives Matter but bullies Black Women. I called bluff from the first ounce of support from h\xe2\x80\xa6 https://t.co/jT61A8CHMr',2021-03-03,23:05:36
129,RT @bradbatt: Just one example of racism that is still baked into American culture and we\xe2\x80\x99re mad at ETSU\xe2\x80\x99s coach for standing up for his pl\xe2\x80\xa6',2021-03-03,23:05:23
130,"@Rachell55597113 All lives matter includes black people. I'm not asking you to protest different things, I'm saying\xe2\x80\xa6 https://t.co/pA2WDGg2VR""",2021-03-03,23:04:59
131,"Actor Omari Hardwick Hits Back At Rudy Giuliani's 'Ignorant' Comments About Black Lives Matter\xe2\x80\xa6 https://t.co/d6V7vRu6F7""",2021-03-03,23:04:43
132,"Just a reminder that Black lives matter.\n\nWhich shouldn't need to be said, but it still does.\n\nFurther, Black trans\xe2\x80\xa6 https://t.co/rDmnMqzRE5""",2021-03-03,23:04:42
133,Just one example of racism that is still baked into American culture and we\xe2\x80\x99re mad at ETSU\xe2\x80\x99s coach for standing up\xe2\x80\xa6 https://t.co/PRbKVGQ3JF',2021-03-03,23:03:17
134,@common BLACK LIVES MATTER!!!!',2021-03-03,23:02:28
135,"RT @EveryVoiceNC: ""The data show very clearly that where you had Black Lives Matter protests, killing of people by the police decreased. It\xe2\x80\xa6'",2021-03-03,23:01:54
136,"RT @dylanhenning: Good morning!\n\nA friendly reminder that:\n\ntrans men are men and trans women are women\n\n&amp;\n\nBlack lives matter. \n\nLastly, I\xe2\x80\xa6'",2021-03-03,23:01:42
137,@RottenInDenmark please god let the dr Seuss foundation announce a donation to Black Lives Matter or something in r\xe2\x80\xa6 https://t.co/Z3T615cprh',2021-03-03,23:01:34
138,NEW Video: Anue Nahki \xe2\x80\x93 Black Lives Matter (Official\xc2\xa0Video) https://t.co/DtOon43pz9',2021-03-03,23:01:09
139,RT @_SJPeace_: My entire heart \xe2\x9d\xa4\n\nNon-Muslims surround Muslims so they can pray safely from the harm of the NYPD during a Black Lives Matte\xe2\x80\xa6',2021-03-03,23:00:31
140,"""The data show very clearly that where you had Black Lives Matter protests, killing of people by the police decreas\xe2\x80\xa6 https://t.co/dRNkMls8Ld'",2021-03-03,22:59:52
141,RT @art444aura: good afternoon BLACK LIVES MATTER!!!',2021-03-03,22:59:19
142,"companies say ""black lives matter"" well do the black children in Africa who don\'t have access to clean water that s\xe2\x80\xa6 https://t.co/0xE7Jx2ESS'",2021-03-03,22:58:48
143,@chaecalotes a festa black lives matter',2021-03-03,22:58:37
144,"RT @anthonyvclark20: I was born Black, no one is born a police officer, \n\nBlack Lives Matter &amp; Blue Lives don\xe2\x80\x99t exist'",2021-03-03,22:57:37
145,"RT @BTaylorMinistry: Just as BLM is selective about which black lives matter, so too is the #MeToo movement. Cuomo is proof positive of thi\xe2\x80\xa6'",2021-03-03,22:56:33
146,DaBaby feat Roddy Ricch - Rockstar (Black Lives Matter Remix) (Clean)',2021-03-03,22:56:27
147,"Just as BLM is selective about which black lives matter, so too is the #MeToo movement. Cuomo is proof positive of this.'",2021-03-03,22:56:13
148,RT @bartleyamandaj: Looks like protesting and advocacy saves lives after all. For everyone who ever doubted the impact of showing up. Read\xe2\x80\xa6',2021-03-03,22:55:34
